NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N,D5C,D5N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Variável (Código),Variável,Mês (Código),Mês,Ano da safra (Código),Ano da safra,Produto das lavouras (Código),Produto das lavouras
1,Brasil,1017,Toneladas,7701,1,Brasil,35,Produção,202211,novembro 2022,50483,Safra 2022,39434,1.6 Centeio
1,Brasil,1017,Toneladas,502527,1,Brasil,35,Produção,202211,novembro 2022,50483,Safra 2022,39435,1.7 Cevada
1,Brasil,1017,Toneladas,1085264,1,Brasil,35,Produção,202211,novembro 2022,50483,Safra 2022,39436,1.8 Feijão (1ª Safra)
1,Brasil,1017,Toneladas,1344228,1,Brasil,35,Produção,202211,novembro 2022,50483,Safra 2022,39437,1.9 Feijão (2ª Safra)
1,Brasil,1017,Toneladas,659387,1,Brasil,35,Produção,202211,novembro 2022,50483,Safra 2022,39438,1.10 Feijão (3ª Safra)
1,Brasil,1017,Toneladas,60361,1,Brasil,35,Produção,202211,novembro 2022,50483,Safra 2022,39439,1.11 Girassol
1,Brasil,1017,Toneladas,38924,1,Brasil,35,Produção,202211,novembro 2022,50483,Safra 2022,39440,1.12 Mamona
1,Brasil,1017,Toneladas,25413392,1,Brasil,35,Produção,202211,novembro 2022,50483,Safra 2022,39441,1.13 Milho (1ª Safra)
1,Brasil,1017,Toneladas,84730503,1,Brasil,35,Produção,202211,novembro 2022,50483,Safra 2022,39442,1.14 Milho (2ª Safra)
1,Brasil,1017,Toneladas,119541186,1,Brasil,35,Produção,202211,novembro 2022,50483,Safra 2022,39443,1.15 Soja
1,Brasil,1017,Toneladas,2858768,1,Brasil,35,Produção,202211,novembro 2022,50483,Safra 2022,39444,1.16 Sorgo
1,Brasil,1017,Toneladas,9559800,1,Brasil,35,Produção,202211,novembro 2022,50483,Safra 2022,39445,1.17 Trigo
1,Brasil,1017,Toneladas,62317,1,Brasil,35,Produção,202211,novembro 2022,50483,Safra 2022,39446,1.18 Triticale
1,Brasil,1017,Toneladas,7083431,1,Brasil,35,Produção,202211,novembro 2022,50483,Safra 2022,39449,4 Banana
1,Brasil,1017,Toneladas,1695829,1,Brasil,35,Produção,202211,novembro 2022,50483,Safra 2022,39450,5 Batata - inglesa (1ª Safra)
1,Brasil,1017,Toneladas,1281827,1,Brasil,35,Produção,202211,novembro 2022,50483,Safra 2022,39451,6 Batata - inglesa (2ª Safra)
1,Brasil,1017,Toneladas,1069850,1,Brasil,35,Produção,202211,novembro 2022,50483,Safra 2022,39452,7 Batata - inglesa (3ª Safra)
1,Brasil,1017,Toneladas,290119,1,Brasil,35,Produção,202211,novembro 2022,50483,Safra 2022,39453,8 Cacau
1,Brasil,1017,Toneladas,2027476,1,Brasil,35,Produção,202211,novembro 2022,50483,Safra 2022,39454,9 Café arábica
1,Brasil,1017,Toneladas,1103442,1,Brasil,35,Produção,202211,novembro 2022,50483,Safra 2022,39455,10 Café canephora
1,Brasil,1017,Toneladas,627088640,1,Brasil,35,Produção,202211,novembro 2022,50483,Safra 2022,39456,11 Cana-de-açúcar
1,Brasil,1017,Toneladas,123077,1,Brasil,35,Produção,202211,novembro 2022,50483,Safra 2022,39457,12 Castanha-de-caju
1,Brasil,1017,Toneladas,665418,1,Brasil,35,Produção,202211,novembro 2022,50483,Safra 2022,39460,15 Fumo
1,Brasil,1017,Toneladas,-,1,Brasil,35,Produção,202211,novembro 2022,50483,Safra 2022,39462,17 Juta
1,Brasil,1017,Toneladas,16722361,1,Brasil,35,Produção,202211,novembro 2022,50483,Safra 2022,39463,18 Laranja
1,Brasil,1017,Toneladas,18227561,1,Brasil,35,Produção,202211,novembro 2022,50483,Safra 2022,39467,21 Mandioca
1,Brasil,1017,Toneladas,3839590,1,Brasil,35,Produção,202211,novembro 2022,50483,Safra 2022,39470,24 Tomate
1,Brasil,1017,Toneladas,1502357,1,Brasil,35,Produção,202211,novembro 2022,50483,Safra 2022,39471,25 Uva
